,pitch,start,end,duration,next_note
14418,69,20,24,4,64_4
14419,71,22,24,2,65_4
14420,62,20,24,4,71_4
14421,62,20,24,4,71_4
14422,60,20,24,4,64_4
14423,71,26,28,2,65_2
14424,69,26,28,2,60_2
14425,71,26,28,2,60_2
14426,69,26,28,2,67_2
14427,69,20,22,2,69_2
14428,69,26,28,2,65_2
14429,64,22,24,2,65_2
14430,60,26,28,2,67_2
14431,60,26,28,2,67_2
14432,64,26,28,2,65_2
14433,67,24,28,4,71_2
14434,62,22,24,2,71_4
14435,71,24,28,4,62_2
14436,71,8,12,4,71_2
14437,62,26,28,2,64_2
14438,64,26,28,2,67_2
14439,65,24,28,4,65_2
14440,71,22,24,2,62_2
14441,64,24,26,2,69_2
14442,69,26,28,2,60_2
14443,65,16,20,4,71_4
14444,67,26,28,2,62_2
14445,67,26,28,2,62_2
14446,67,26,28,2,62_2
14447,67,26,28,2,62_2
14448,67,26,28,2,62_2
14449,60,26,28,2,60_2
14450,71,24,26,2,62_2
14451,62,26,28,2,62_2
14452,71,18,20,2,69_2
14453,69,20,22,2,67_2
14454,65,26,28,2,65_2
14455,71,24,26,2,67_2
14456,65,26,28,2,65_2
14457,65,20,24,4,71_4
14458,67,26,28,2,62_2
14459,62,26,28,2,59_2
14460,57,24,28,4,59_2
14461,69,20,24,4,69_4
14462,64,2,4,2,64_2
14463,60,20,24,4,60_4
14464,60,20,24,4,57_4
14465,59,22,24,2,69_4
14466,71,28,29,1,69_1
14467,62,20,24,4,69_4
14468,60,26,28,2,60_2
14469,60,26,28,2,60_2
14470,65,26,28,2,64_2
14471,65,26,28,2,64_2
14472,65,26,28,2,62_2
14473,64,26,28,2,60_2
14474,64,26,28,2,60_2
14475,67,26,28,2,67_2
14476,65,26,28,2,64_2
14477,71,26,28,2,60_2
14478,65,26,28,2,60_2
14479,60,20,24,4,60_4
14480,71,26,28,2,69_2
14481,71,26,28,2,69_2
14482,71,2,4,2,62_2
14483,67,10,12,2,60_2
14484,64,26,28,2,65_2
14485,69,26,28,2,69_2
14486,62,24,26,2,62_2
14487,62,24,26,2,62_2
14488,64,26,28,2,62_2
14489,64,26,28,2,71_2
14490,67,26,28,2,71_2
14491,64,26,28,2,69_2
14492,62,24,28,4,60_2
14493,62,24,28,4,60_2
14494,60,2,4,2,67_2
14495,62,26,28,2,64_2
14496,62,26,28,2,64_2
14497,64,20,22,2,62_2
14498,60,22,24,2,62_2
14499,71,2,4,2,65_2
14500,67,26,28,2,60_2
14501,67,26,28,2,60_2
14502,69,26,28,2,62_2
14503,69,26,28,2,62_2
14504,65,26,28,2,62_2
14505,65,26,28,2,65_2
14506,67,24,26,2,64_2
14507,64,20,24,4,67_4
14508,69,22,24,2,64_4
14509,67,24,26,2,65_2
14510,65,24,26,2,67_2
14511,60,26,28,2,67_2
14512,64,26,28,2,69_2
14513,62,26,28,2,64_2
14514,62,26,28,2,64_2
14515,67,26,28,2,64_2
14516,65,29,30,1,64_1
